"population","relationship_type","sim_id","locus","loci_set","combined_LR"
"AfAm","parent_child",2,"TPOX","core_13",2.71713147410358
"AfAm","parent_child",2,"vWA","core_13",1.67647058823529
"AfAm","full_siblings",1,"CSF1PO","core_13",0.752941176470589
"AfAm","full_siblings",1,"D10S1248","core_13",1
"AfAm","full_siblings",1,"D12S391","core_13",1
"AfAm","full_siblings",1,"D13S317","core_13",1.86320754716981
"AfAm","full_siblings",1,"D16S539","core_13",1.618
"AfAm","full_siblings",1,"D18S51","core_13",6.80509700476515
"AfAm","full_siblings",1,"D19S433","core_13",1
"AfAm","full_siblings",1,"D1S1656","core_13",1
"AfAm","full_siblings",1,"D21S11","core_13",4.49692118226601
"AfAm","full_siblings",1,"D22S1045","core_13",1
"AfAm","full_siblings",1,"D2S1338","core_13",1
"AfAm","full_siblings",1,"D2S441","core_13",1
"AfAm","full_siblings",1,"D3S1358","core_13",2.31881820948737
"AfAm","full_siblings",1,"D5S818","core_13",0.808823529411764
"AfAm","full_siblings",1,"D6S1043","core_13",1
"AfAm","full_siblings",1,"D7S820","core_13",0.25
"AfAm","full_siblings",1,"D8S1179","core_13",4.90520711051483
"AfAm","full_siblings",1,"F13A01","core_13",1
"AfAm","full_siblings",1,"F13B","core_13",1
"AfAm","full_siblings",1,"FESFPS","core_13",1
"AfAm","full_siblings",1,"FGA","core_13",8.00677339901475
"AfAm","full_siblings",1,"LPL","core_13",1
"AfAm","full_siblings",1,"Penta_C","core_13",1
"AfAm","full_siblings",1,"Penta_D","core_13",1
"AfAm","full_siblings",1,"Penta_E","core_13",1
"AfAm","full_siblings",1,"SE33","core_13",1
"AfAm","full_siblings",1,"TH01","core_13",1
"AfAm","full_siblings",1,"TPOX","core_13",3.13983050847458
"AfAm","full_siblings",1,"vWA","core_13",0.781055900621119
"AfAm","full_siblings",2,"CSF1PO","core_13",0.673267326732673
"AfAm","full_siblings",2,"D10S1248","core_13",1
"AfAm","full_siblings",2,"D12S391","core_13",1
"AfAm","full_siblings",2,"D13S317","core_13",0.847902097902098
"AfAm","full_siblings",2,"D16S539","core_13",7.85095000000002
"AfAm","full_siblings",2,"D18S51","core_13",1.28012048192771
"AfAm","full_siblings",2,"D19S433","core_13",1
"AfAm","full_siblings",2,"D1S1656","core_13",1
"AfAm","full_siblings",2,"D21S11","core_13",0.758928571428572
"AfAm","full_siblings",2,"D22S1045","core_13",1
"AfAm","full_siblings",2,"D2S1338","core_13",1
"AfAm","full_siblings",2,"D2S441","core_13",1
"AfAm","full_siblings",2,"D3S1358","core_13",0.25
"AfAm","full_siblings",2,"D5S818","core_13",1.31875
"AfAm","full_siblings",2,"D6S1043","core_13",1
"AfAm","full_siblings",2,"D7S820","core_13",0.621739130434782
"AfAm","full_siblings",2,"D8S1179","core_13",0.25
"AfAm","full_siblings",2,"F13A01","core_13",1
"AfAm","full_siblings",2,"F13B","core_13",1
