allele,marker,frequency,population
13.4,D1S1656,0,Asian
13.4,D21S11,0,Asian
13.4,D22S1045,0,Asian
13.4,D2S1338,0,Asian
13.4,D2S441,0,Asian
13.4,D3S1358,0,Asian
13.4,D5S818,0,Asian
13.4,D6S1043,0,Asian
13.4,D7S820,0,Asian
13.4,D8S1179,0,Asian
13.4,F13A01,0,Asian
13.4,F13B,0,Asian
13.4,FESFPS,0,Asian
13.4,FGA,0,Asian
13.4,LPL,0,Asian
13.4,Penta_C,0,Asian
13.4,Penta_D,0,Asian
13.4,Penta_E,0,Asian
13.4,SE33,0,Asian
13.4,TH01,0,Asian
13.4,TPOX,0,Asian
13.4,vWA,0,Asian
14,CSF1PO,0.0154639175257732,Asian
14,D10S1248,0.252577319587629,Asian
14,D12S391,0,Asian
14,D13S317,0,Asian
14,D16S539,0.0154639175257732,Asian
14,D18S51,0.237113402061856,Asian
14,D19S433,0.298969072164948,Asian
14,D1S1656,0.0618556701030928,Asian
14,D21S11,0,Asian
14,D22S1045,0.0103092783505155,Asian
14,D2S1338,0,Asian
14,D2S441,0.0824742268041237,Asian
14,D3S1358,0.0257731958762887,Asian
14,D5S818,0.0154639175257732,Asian
14,D6S1043,0.154639175257732,Asian
14,D7S820,0,Asian
14,D8S1179,0.201030927835052,Asian
14,F13A01,0,Asian
14,F13B,0,Asian
14,FESFPS,0.0206185567010309,Asian
14,FGA,0,Asian
14,LPL,0,Asian
14,Penta_C,0.00515463917525773,Asian
14,Penta_D,0.0103092783505155,Asian
14,Penta_E,0.0515463917525773,Asian
14,SE33,0,Asian
14,TH01,0,Asian
14,TPOX,0,Asian
14,vWA,0.195876288659794,Asian
14.2,CSF1PO,0,Asian
14.2,D10S1248,0,Asian
14.2,D12S391,0,Asian
14.2,D13S317,0,Asian
14.2,D16S539,0,Asian
14.2,D18S51,0,Asian
14.2,D19S433,0.103092783505155,Asian
14.2,D1S1656,0,Asian
14.2,D21S11,0,Asian
14.2,D22S1045,0,Asian
14.2,D2S1338,0,Asian
14.2,D2S441,0,Asian
14.2,D3S1358,0,Asian
14.2,D5S818,0,Asian
14.2,D6S1043,0,Asian
14.2,D7S820,0,Asian
14.2,D8S1179,0,Asian
14.2,F13A01,0,Asian
14.2,F13B,0,Asian
14.2,FESFPS,0,Asian
14.2,FGA,0,Asian
14.2,LPL,0,Asian
14.2,Penta_C,0,Asian
14.2,Penta_D,0,Asian
14.2,Penta_E,0,Asian
14.2,SE33,0,Asian
14.2,TH01,0,Asian
14.2,TPOX,0,Asian
14.2,vWA,0,Asian
14.3,CSF1PO,0,Asian
14.3,D10S1248,0,Asian
14.3,D12S391,0,Asian
14.3,D13S317,0,Asian
14.3,D16S539,0,Asian
14.3,D18S51,0,Asian
14.3,D19S433,0,Asian
14.3,D1S1656,0,Asian
14.3,D21S11,0,Asian
14.3,D22S1045,0,Asian
14.3,D2S1338,0,Asian
14.3,D2S441,0,Asian
14.3,D3S1358,0,Asian
14.3,D5S818,0,Asian
14.3,D6S1043,0,Asian
14.3,D7S820,0,Asian
14.3,D8S1179,0,Asian
14.3,F13A01,0,Asian
14.3,F13B,0,Asian
14.3,FESFPS,0,Asian
14.3,FGA,0,Asian
14.3,LPL,0,Asian
14.3,Penta_C,0,Asian
14.3,Penta_D,0,Asian
14.3,Penta_E,0,Asian
14.3,SE33,0,Asian
14.3,TH01,0,Asian
14.3,TPOX,0,Asian
14.3,vWA,0,Asian
15,CSF1PO,0.00515463917525773,Asian
15,D10S1248,0.206185567010309,Asian
15,D12S391,0.0412371134020619,Asian
15,D13S317,0,Asian
15,D16S539,0,Asian
15,D18S51,0.180412371134021,Asian
15,D19S433,0.0618556701030928,Asian
15,D1S1656,0.278350515463918,Asian
15,D21S11,0,Asian
15,D22S1045,0.309278350515464,Asian
15,D2S1338,0,Asian
15,D2S441,0.0103092783505155,Asian
15,D3S1358,0.365979381443299,Asian
15,D5S818,0,Asian
15,D6S1043,0.0360824742268041,Asian
15,D7S820,0,Asian
15,D8S1179,0.128865979381443,Asian
15,F13A01,0,Asian
15,F13B,0,Asian
15,FESFPS,0,Asian
15,FGA,0,Asian
15,LPL,0,Asian
15,Penta_C,0,Asian
15,Penta_D,0.0103092783505155,Asian
15,Penta_E,0.11340206185567,Asian
