"population","relationship_type","sim_id","loci_set","combined_LR"
"Hispanic","unrelated",5,"identifiler_15",1
"Hispanic","unrelated",5,"expanded_20",1
"Hispanic","unrelated",5,"supplementary",1
"Hispanic","unrelated",5,"autosomal_29",1
"all","cousins",1,"core_13",0.706674202716589
"all","cousins",1,"identifiler_15",0.705135593412518
"all","cousins",1,"expanded_20",0.551670551997811
"all","cousins",1,"supplementary",0.664421865485243
"all","cousins",1,"autosomal_29",0.500785003176382
"all","cousins",2,"core_13",3.45680635192009
"all","cousins",2,"identifiler_15",4.3604017444804
"all","cousins",2,"expanded_20",7.40923472324534
"all","cousins",2,"supplementary",5.77905837251568
"all","cousins",2,"autosomal_29",8.1506272285635
"all","full_siblings",1,"core_13",37.2888078365085
"all","full_siblings",1,"identifiler_15",371.4548036461
"all","full_siblings",1,"expanded_20",17139.6201096073
"all","full_siblings",1,"supplementary",44542.3502784086
"all","full_siblings",1,"autosomal_29",70006.616942074
"all","full_siblings",2,"core_13",20048.6712322527
"all","full_siblings",2,"identifiler_15",152661.395645181
"all","full_siblings",2,"expanded_20",228475.875054493
"all","full_siblings",2,"supplementary",4733522.18321678
"all","full_siblings",2,"autosomal_29",44282288.7340771
"all","half_siblings",1,"core_13",157.75283172891
"all","half_siblings",1,"identifiler_15",549.728710864843
"all","half_siblings",1,"expanded_20",1731.83688781389
"all","half_siblings",1,"supplementary",2500.52383189945
"all","half_siblings",1,"autosomal_29",25103.0406944271
"all","half_siblings",2,"core_13",29.43192882541
"all","half_siblings",2,"identifiler_15",21.2177450532274
"all","half_siblings",2,"expanded_20",84.6932933769457
"all","half_siblings",2,"supplementary",408.066694081266
"all","half_siblings",2,"autosomal_29",121072.340604395
"all","parent_child",1,"core_13",2583.69678118195
"all","parent_child",1,"identifiler_15",15148.7100890681
"all","parent_child",1,"expanded_20",2711310.17860216
"all","parent_child",1,"supplementary",848255243.035667
"all","parent_child",1,"autosomal_29",24715536063.727
"all","parent_child",2,"core_13",19401.955574905
"all","parent_child",2,"identifiler_15",155518.841660514
"all","parent_child",2,"expanded_20",29646008.7343047
"all","parent_child",2,"supplementary",3424273252.76703
"all","parent_child",2,"autosomal_29",1278332011370.8
"all","second_cousins",1,"core_13",0.830010609646075
"all","second_cousins",1,"identifiler_15",0.769489002692715
"all","second_cousins",1,"expanded_20",0.654533332494962
"all","second_cousins",1,"supplementary",0.860430528262125
"all","second_cousins",1,"autosomal_29",0.835538113912818
"all","second_cousins",2,"core_13",1.01302594564886
"all","second_cousins",2,"identifiler_15",0.890354835042944
"all","second_cousins",2,"expanded_20",0.707960051986658
"all","second_cousins",2,"supplementary",0.628063925514287
"all","second_cousins",2,"autosomal_29",0.843164386303782
"all","unrelated",1,"core_13",1
"all","unrelated",1,"identifiler_15",1
"all","unrelated",1,"expanded_20",1
"all","unrelated",1,"supplementary",1
"all","unrelated",1,"autosomal_29",1
"all","unrelated",2,"core_13",1
"all","unrelated",2,"identifiler_15",1
"all","unrelated",2,"expanded_20",1
"all","unrelated",2,"supplementary",1
"all","unrelated",2,"autosomal_29",1
"all","unrelated",3,"core_13",1
"all","unrelated",3,"identifiler_15",1
"all","unrelated",3,"expanded_20",1
"all","unrelated",3,"supplementary",1
"all","unrelated",3,"autosomal_29",1
"all","unrelated",4,"core_13",1
"all","unrelated",4,"identifiler_15",1
"all","unrelated",4,"expanded_20",1
"all","unrelated",4,"supplementary",1
"all","unrelated",4,"autosomal_29",1
"all","unrelated",5,"core_13",1
"all","unrelated",5,"identifiler_15",1
"all","unrelated",5,"expanded_20",1
"all","unrelated",5,"supplementary",1
"all","unrelated",5,"autosomal_29",1
