ID1	POP1	ID2	POP2	IBD_CM_SUM
NA19703	ASW	NA20336	ASW	10.33012
HG02687	PJL	HG02725	PJL	53.2569
HG01148	CLM	HG01447	CLM	31.28898
HG03193	ESN	HG03369	ESN	25.31776
HG03394	MSL	HG03458	MSL	19.7854
HG03681	STU	HG03887	STU	92.26909
HG02111	ACB	HG02284	ACB	12.82436
HG01260	CLM	HG01468	CLM	103.9191
HG00188	FIN	HG00325	FIN	7.890556
HG01148	CLM	HG01275	CLM	15.30833
HG00285	FIN	HG00338	FIN	23.16228
HG03515	ESN	HG03521	ESN	22.02651
HG02687	PJL	HG03640	PJL	39.56753
HG02645	GWD	HG02888	GWD	24.8233
HG01148	CLM	HG01359	CLM	62.35183
HG01051	PUR	HG01326	PUR	71.56566
HG00188	FIN	HG00365	FIN	13.72638
HG03750	STU	HG04042	STU	11.84904
HG01134	CLM	HG01348	CLM	33.9302
HG00464	CHS	HG00537	CHS	21.96939
HG01148	CLM	HG01356	CLM	31.10645
NA19703	ASW	NA19711	ASW	101.2054
HG01051	PUR	HG01104	PUR	31.29026
HG03074	MSL	HG03097	MSL	147.1524
HG01205	PUR	HG01403	PUR	19.45531
HG00346	FIN	HG00376	FIN	85.57304
HG01134	CLM	HG01444	CLM	6.869843
HG01082	PUR	HG01247	PUR	74.52107
HG02265	PEL	HG02266	PEL	5.05397
HG00638	PUR	HG01323	PUR	13.05703
HG02645	GWD	HG02666	GWD	56.28529
HG02688	PJL	HG02775	PJL	33.9404
HG01048	PUR	HG01414	PUR	38.67112
HG02502	ACB	NA19625	ASW	5.701035
HG01134	CLM	HG01359	CLM	67.13065
HG00269	FIN	HG00337	FIN	17.29938
HG01048	PUR	HG01049	PUR	41.73804
HG03786	ITU	HG03868	ITU	5.744629
HG01051	PUR	HG01414	PUR	48.01096
HG01363	CLM	HG01488	CLM	11.56701
HG02181	CDX	NA18630	CHB	5.810959
HG00269	FIN	HG00288	FIN	10.58862
HG00346	FIN	HG00375	FIN	11.47091
HG00638	PUR	HG02235	IBS	7.464279
HG03750	STU	HG03837	STU	37.12499
HG00285	FIN	HG00371	FIN	12.14542
HG01051	PUR	HG01170	PUR	33.37056
HG03074	MSL	HG03436	MSL	64.52137
HG02111	ACB	HG02144	ACB	12.03686
HG01048	PUR	HG01085	PUR	32.98694
HG01363	CLM	HG01495	CLM	12.43646
HG01363	CLM	HG01437	CLM	5.777439
HG00188	FIN	HG00378	FIN	8.322121
NA19649	MXL	NA19780	MXL	25.17746
HG01459	CLM	HG01479	CLM	91.46753
HG01393	PUR	HG01405	PUR	29.91457
HG01083	PUR	HG01312	PUR	74.83742
HG01459	CLM	HG01492	CLM	32.8643
HG01363	CLM	HG01443	CLM	6.958771
HG00638	PUR	HG01204	PUR	27.34743
HG01982	PEL	HG02006	PEL	5.071285
HG03268	ESN	HG03271	ESN	384.9346
HG01968	PEL	HG02301	PEL	11.91562
HG01082	PUR	HG01188	PUR	66.24967
HG01148	CLM	HG01256	CLM	48.06138
HG01148	CLM	HG01362	CLM	24.64143
HG01205	PUR	HG01395	PUR	30.58003
HG02687	PJL	HG02780	PJL	38.02254
HG01051	PUR	HG01083	PUR	33.56128
HG01134	CLM	HG01360	CLM	22.83627
HG03099	ESN	HG03124	ESN	12.6088
HG01051	PUR	HG01164	PUR	39.84676
NA19380	LWK	NA19394	LWK	11.46983
HG01861	KHV	HG02075	KHV	5.311234
HG01134	CLM	HG01494	CLM	14.11211
HG01384	CLM	HG01431	CLM	17.72967
HG01205	PUR	HG01242	PUR	22.52399
HG01051	PUR	HG01398	PUR	27.06325
HG01459	CLM	HG01494	CLM	16.39675
HG00189	FIN	HG00304	FIN	13.79258
HG01148	CLM	HG01377	CLM	23.06887
HG03099	ESN	HG03100	ESN	30.666
HG00269	FIN	HG00273	FIN	17.43407
NA19315	LWK	NA19378	LWK	15.40357
HG00269	FIN	HG00342	FIN	10.18573
HG01051	PUR	HG01242	PUR	34.42779
HG01048	PUR	HG01248	PUR	47.46544
HG01363	CLM	NA19685	MXL	5.397278
HG02688	PJL	HG03016	PJL	5.121933
HG01051	PUR	HG01191	PUR	63.00064
HG00188	FIN	HG00271	FIN	18.2731
HG00188	FIN	HG00351	FIN	9.024441
HG01048	PUR	HG01392	PUR	81.10532
HG00346	FIN	HG00362	FIN	34.59318
NA19350	LWK	NA19397	LWK	436.8398
HG00421	CHS	HG00530	CHS	12.31254
HG03099	ESN	HG03351	ESN	7.411057
HG00269	FIN	HG00378	FIN	36.65116
HG02688	PJL	HG02790	PJL	18.99566
HG01048	PUR	HG01073	PUR	35.73739
HG00367	FIN	HG00382	FIN	16.1057
HG02952	ESN	HG03099	ESN	20.78578
HG03268	ESN	HG03313	ESN	9.890656
HG01051	PUR	HG01052	PUR	12.35869
HG01051	PUR	HG01080	PUR	49.54759
HG02688	PJL	HG03019	PJL	42.53947
HG02153	CDX	HG02391	CDX	6.671341
HG01048	PUR	HG01077	PUR	32.84842
HG03074	MSL	HG03225	MSL	6.952423
HG01048	PUR	HG01242	PUR	5.48729
HG03750	STU	HG03899	STU	6.738724
HG00346	FIN	HG00351	FIN	7.816589
HG01586	PJL	HG03765	PJL	13.6795
HG03099	ESN	HG03300	ESN	13.89622
HG02684	PJL	HG02727	PJL	42.19729
HG00269	FIN	HG00366	FIN	26.46038
HG01051	PUR	HG01063	PUR	28.54664
HG01048	PUR	HG01176	PUR	74.43745
HG01363	CLM	HG01491	CLM	12.61627
HG01982	PEL	HG02271	PEL	13.66913
HG03750	STU	HG04210	STU	6.074547
HG02808	GWD	HG02870	GWD	19.87364
HG01134	CLM	HG01140	CLM	5.652077
HG03099	ESN	HG03129	ESN	12.14871
NA20296	ASW	NA20317	ASW	256.3598
HG00188	FIN	HG00366	FIN	22.12852
HG01048	PUR	HG03247	GWD	6.86615
HG01459	CLM	HG01464	CLM	26.27069
HG01051	PUR	HG01190	PUR	52.43677
HG01048	PUR	HG01412	PUR	115.6551
HG03099	ESN	HG03120	ESN	15.3674
HG03786	ITU	HG04025	ITU	15.15945
HG01048	PUR	HG01102	PUR	60.12309
HG01363	CLM	HG01492	CLM	12.0966
HG01134	CLM	HG01345	CLM	64.66754
HG01048	PUR	HG01325	PUR	30.40981
HG00346	FIN	HG00366	FIN	6.41119
HG01051	PUR	HG01061	PUR	38.80586
HG01965	PEL	NA19752	MXL	5.379593
HG02688	PJL	HG02724	PJL	37.03113
HG00331	FIN	HG00362	FIN	20.08371
NA18915	YRI	NA19239	YRI	10.1276
HG03099	ESN	HG03511	ESN	9.801086
HG01048	PUR	HG01054	PUR	30.34553
HG01915	ACB	HG02052	ACB	10.49841
HG01051	PUR	HG01392	PUR	22.73293
HG02688	PJL	HG03015	PJL	23.6395
HG01363	CLM	HG01377	CLM	10.05281
HG03786	ITU	HG04017	ITU	14.38894
HG01051	PUR	HG01308	PUR	41.07758
HG00269	FIN	HG00365	FIN	16.46926
HG01048	PUR	HG01402	PUR	41.09516
HG01051	PUR	HG01413	PUR	61.16451
HG00269	FIN	HG00272	FIN	29.36644
HG01363	CLM	HG01494	CLM	19.63472
HG00269	FIN	HG00306	FIN	11.92839
HG00315	FIN	HG00349	FIN	13.94839
HG02688	PJL	HG03022	PJL	26.77686
NA06989	CEU	NA11893	CEU	81.31255
HG03741	STU	HG03837	STU	6.862625
HG00732	PUR	HG01164	PUR	98.57997
HG00732	PUR	HG00743	PUR	58.80281
HG00315	FIN	HG00366	FIN	22.21108
HG02952	ESN	HG03343	ESN	6.236404
HG02153	CDX	HG02188	CDX	216.0683
HG01198	PUR	HG01402	PUR	29.32637
HG03629	PJL	NA20858	GIH	5.689697
HG03074	MSL	HG03484	MSL	5.247467
HG03074	MSL	HG03432	MSL	11.72988
HG02309	ACB	HG02433	ACB	34.75885
HG00732	PUR	HG01051	PUR	22.50315
HG01198	PUR	HG01248	PUR	8.738876
HG00231	GBR	HG00258	GBR	13.88568
HG02574	GWD	HG02589	GWD	7.895967
HG00732	PUR	HG01083	PUR	11.39725
HG02783	PJL	HG03663	PJL	25.77962
HG01986	ACB	HG02318	ACB	32.00074
HG00640	PUR	HG01051	PUR	37.9381
HG01048	PUR	HG01311	PUR	26.8587
HG03074	MSL	HG03442	MSL	6.179897
HG02153	CDX	HG02180	CDX	5.512436
HG02690	PJL	HG02691	PJL	962.8468
HG02278	PEL	NA19773	MXL	7.487398
HG02508	ACB	HG02536	ACB	5.181152
HG01051	PUR	HG01098	PUR	49.78675
HG00315	FIN	HG00357	FIN	24.4021
HG02775	PJL	HG02789	PJL	38.30106
HG01915	ACB	HG02580	ACB	6.007532
HG00640	PUR	HG00732	PUR	71.78106
HG01124	CLM	HG01149	CLM	20.34268
HG00269	FIN	HG00373	FIN	14.47649
HG01048	PUR	HG01167	PUR	17.20037
HG01965	PEL	NA19747	MXL	5.080444
HG01048	PUR	HG01247	PUR	32.10116
HG01198	PUR	HG01412	PUR	63.1917
HG02684	PJL	HG02685	PJL	283.4334
HG01556	CLM	HG01912	ACB	5.828598
HG00379	FIN	HG00382	FIN	16.87877
HG01048	PUR	HG01323	PUR	38.09324
NA19761	MXL	NA19762	MXL	25.7064
HG00640	PUR	HG01083	PUR	14.73126
HG02339	ACB	HG02577	ACB	12.95738
HG01051	PUR	HG01405	PUR	40.81639
HG01198	PUR	HG01516	IBS	5.378952
HG00640	PUR	HG01058	PUR	19.67732
HG00640	PUR	HG01086	PUR	24.46472
HG02690	PJL	HG02694	PJL	217.0014
HG03097	MSL	HG03419	MSL	39.04878
HG00269	FIN	HG00371	FIN	26.03896
HG00421	CHS	HG00445	CHS	6.043274
