allele,marker,frequency,population
11.2,D7S820,0,AfAm
11.2,D8S1179,0,AfAm
11.2,F13A01,0,AfAm
11.2,F13B,0,AfAm
11.2,FESFPS,0,AfAm
11.2,FGA,0,AfAm
11.2,LPL,0,AfAm
11.2,Penta_C,0,AfAm
11.2,Penta_D,0,AfAm
11.2,Penta_E,0,AfAm
11.2,SE33,0.00292397660818713,AfAm
11.2,TH01,0,AfAm
11.2,TPOX,0,AfAm
11.2,vWA,0,AfAm
11.3,CSF1PO,0,AfAm
11.3,D10S1248,0,AfAm
11.3,D12S391,0,AfAm
11.3,D13S317,0,AfAm
11.3,D16S539,0,AfAm
11.3,D18S51,0,AfAm
11.3,D19S433,0,AfAm
11.3,D1S1656,0,AfAm
11.3,D21S11,0,AfAm
11.3,D22S1045,0,AfAm
11.3,D2S1338,0,AfAm
11.3,D2S441,0.043859649122807,AfAm
11.3,D3S1358,0,AfAm
11.3,D5S818,0,AfAm
11.3,D6S1043,0,AfAm
11.3,D7S820,0,AfAm
11.3,D8S1179,0,AfAm
11.3,F13A01,0,AfAm
11.3,F13B,0,AfAm
11.3,FESFPS,0.00292397660818713,AfAm
11.3,FGA,0,AfAm
11.3,LPL,0,AfAm
11.3,Penta_C,0,AfAm
11.3,Penta_D,0,AfAm
11.3,Penta_E,0,AfAm
11.3,SE33,0,AfAm
11.3,TH01,0,AfAm
11.3,TPOX,0,AfAm
11.3,vWA,0,AfAm
12,CSF1PO,0.295321637426901,AfAm
12,D10S1248,0.130116959064328,AfAm
12,D12S391,0,AfAm
12,D13S317,0.41812865497076,AfAm
12,D16S539,0.204678362573099,AfAm
12,D18S51,0.0760233918128655,AfAm
12,D19S433,0.12280701754386,AfAm
12,D1S1656,0.064327485380117,AfAm
12,D21S11,0,AfAm
12,D22S1045,0.054093567251462,AfAm
12,D2S1338,0,AfAm
12,D2S441,0.165204678362573,AfAm
12,D3S1358,0.0043859649122807,AfAm
12,D5S818,0.368421052631579,AfAm
12,D6S1043,0.223684210526316,AfAm
12,D7S820,0.087719298245614,AfAm
12,D8S1179,0.130116959064328,AfAm
12,F13A01,0.0043859649122807,AfAm
12,F13B,0,AfAm
12,FESFPS,0.226608187134503,AfAm
12,FGA,0,AfAm
12,LPL,0.295321637426901,AfAm
12,Penta_C,0.25,AfAm
12,Penta_D,0.108187134502924,AfAm
12,Penta_E,0.128654970760234,AfAm
