"","n_sibs","n_half_sibs","n_first_degree","n_second_degree","n_third_degree"
"744",3,0,6,3,0
"745",1,0,3,7,7
"746",0,0,4,2,6
"747",4,0,8,11,4
"748",2,0,6,7,0
"749",1,0,5,6,13
"750",0,0,4,5,10
"751",0,0,2,9,30
"752",2,0,10,15,11
"753",0,0,5,3,18
"754",2,0,4,13,15
"755",7,0,11,18,7
"756",4,0,7,8,1
"757",1,0,10,14,28
"758",0,0,4,0,0
"759",0,0,5,7,12
"760",1,0,3,10,26
"761",1,0,7,2,9
"762",4,0,13,21,6
"763",1,0,5,9,22
"764",1,0,3,5,22
"765",2,0,13,5,10
"766",0,0,2,4,8
"767",2,0,13,5,34
"768",1,0,3,7,16
"769",1,0,3,6,0
"770",4,0,10,17,1
"771",2,0,4,10,10
"772",3,0,8,12,12
"773",3,0,9,9,35
"774",2,0,8,9,0
"775",0,0,3,2,7
"776",0,0,7,4,9
"777",2,0,6,6,7
"778",1,0,7,8,14
"779",2,0,7,8,4
"780",7,0,11,32,2
"781",2,0,5,9,9
"782",0,0,4,4,12
"783",3,0,6,9,5
"784",1,0,6,8,20
"785",1,0,9,10,9
"786",5,0,11,16,9
"787",3,0,5,12,15
"788",1,0,5,17,35
"789",3,0,6,6,0
"790",1,0,7,2,5
"791",4,0,9,14,1
"792",2,0,12,11,17
"793",1,0,3,15,25
"794",1,0,7,18,41
"795",5,0,12,15,11
"796",0,0,3,3,8
"797",6,0,10,27,3
"798",0,0,6,5,13
"799",1,0,8,7,20
"800",5,0,13,11,3
"801",5,0,10,15,0
"802",11,0,14,30,2
"803",0,0,8,4,11
"804",1,0,4,14,32
"805",0,0,5,4,12
"806",3,0,10,13,18
"807",5,0,12,18,1
"808",1,0,6,9,17
"809",2,0,6,11,3
"810",1,0,7,5,2
"811",0,0,6,11,20
"812",3,0,6,11,16
"813",1,0,6,3,13
"814",4,0,10,23,13
"815",0,0,3,9,25
"816",0,0,4,3,17
"817",11,0,14,36,13
"818",0,0,7,2,7
"819",2,0,6,18,12
"820",2,0,6,4,0
"821",1,0,5,8,11
"822",2,0,10,9,15
"823",0,0,9,6,17
"824",4,0,10,21,5
"825",4,0,6,11,8
"826",1,0,6,8,5
"827",0,0,6,9,35
"828",0,0,3,9,16
"829",0,0,10,1,2
"830",2,0,8,15,26
"831",0,0,6,13,29
"832",1,0,3,0,0
"833",2,0,12,6,9
"834",4,0,6,18,17
"835",3,0,6,7,5
"836",0,0,2,12,27
"837",4,0,7,14,3
"838",4,0,9,17,9
"839",3,0,5,15,13
"840",3,0,7,19,5
"841",0,0,3,6,35
"842",0,0,4,3,7
"843",2,0,4,6,5
"844",2,0,6,4,0
"845",3,0,7,19,13
"846",4,0,8,17,14
"847",3,0,5,15,19
"848",0,0,4,8,24
"849",0,0,6,5,18
"850",0,0,6,5,11
"851",1,0,5,15,23
"852",5,0,9,20,9
"853",1,0,6,11,32
"854",5,0,7,23,24
"855",1,0,6,3,10
"856",7,0,10,25,6
"857",0,0,6,9,31
"858",2,0,4,4,24
"859",1,0,4,4,9
"860",4,0,7,15,10
"861",0,0,5,10,21
"862",4,0,7,39,34
"863",1,0,6,2,0
"864",0,0,2,1,3
"865",4,0,7,18,16
"866",1,0,3,14,22
"867",0,0,4,8,24
"868",4,0,8,17,34
"869",1,0,5,18,29
"870",2,0,8,15,16
"871",4,0,6,13,8
"872",4,0,11,23,36
"873",1,0,8,8,15
"874",3,0,6,14,3
"875",0,0,5,2,6
"876",3,0,6,13,2
"877",4,0,10,20,15
"878",2,0,9,8,11
"879",0,0,3,4,6
"880",2,0,5,12,6
"881",2,0,4,7,12
"882",2,0,6,13,8
"883",3,0,6,17,14
"884",0,0,2,8,25
"885",1,0,5,5,22
"886",5,0,8,27,22
"887",0,0,4,1,0
"888",0,0,3,5,9
"889",3,0,10,18,35
"890",9,0,15,13,7
"891",2,0,8,21,3
"892",3,0,8,7,8
