Allele,Marker,Frequency,Population,Sample_Size
18.100000000000001,...16,0.00211864406779661,"1036 revised Hispanic,",=236
18.3,...4,0.012711864406779662,"1036 revised Hispanic,",=236
18.3,...9,0.025423728813559324,"1036 revised Hispanic,",=236
19,...3,0.00211864406779661,"1036 revised Hispanic,",=236
19,...4,0.1885593220338983,"1036 revised Hispanic,",=236
19,...7,0.046610169491525424,"1036 revised Hispanic,",=236
19,...12,0.19279661016949154,"1036 revised Hispanic,",=236
19,...14,0.00423728813559322,"1036 revised Hispanic,",=236
19,...16,0.07838983050847458,"1036 revised Hispanic,",=236
19,...22,0.08050847457627118,"1036 revised Hispanic,",=236
19,...26,0.0211864406779661,"1036 revised Hispanic,",=236
19,...27,0.08898305084745763,"1036 revised Hispanic,",=236
19,...30,0.05084745762711865,"1036 revised Hispanic,",=236
19.100000000000001,...4,0.00211864406779661,"1036 revised Hispanic,",=236
19.2,...27,0.006355932203389831,"1036 revised Hispanic,",=236
19.3,...4,0.006355932203389831,"1036 revised Hispanic,",=236
19.3,...9,0.00423728813559322,"1036 revised Hispanic,",=236
19.3,...16,0.00211864406779661,"1036 revised Hispanic,",=236
20,...4,0.15466101694915255,"1036 revised Hispanic,",=236
20,...7,0.02754237288135593,"1036 revised Hispanic,",=236
20,...12,0.1271186440677966,"1036 revised Hispanic,",=236
20,...14,0.00211864406779661,"1036 revised Hispanic,",=236
20,...16,0.03177966101694915,"1036 revised Hispanic,",=236
20,...22,0.0847457627118644,"1036 revised Hispanic,",=236
20,...26,0.0211864406779661,"1036 revised Hispanic,",=236
20,...27,0.048728813559322036,"1036 revised Hispanic,",=236
20,...30,0.01059322033898305,"1036 revised Hispanic,",=236
20.2,...27,0.00423728813559322,"1036 revised Hispanic,",=236
20.3,...4,0.00211864406779661,"1036 revised Hispanic,",=236
20.3,...16,0.01059322033898305,"1036 revised Hispanic,",=236
21,...4,0.11228813559322035,"1036 revised Hispanic,",=236
21,...7,0.00847457627118644,"1036 revised Hispanic,",=236
